PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,no,3,male,22,1,0,A/5 21171,7.25,C85,S
2,yes,1,female,38,1,0,PC 17599,71.2833,C123,C
3,yes,3,female,26,0,0,STON/O2. 3101282,7.925,E46,S
4,yes,1,female,35,1,0,113803,53.1,G6,S
5,no,3,male,35,0,0,373450,8.05,C103,S
6,no,3,male,54,0,0,330877,8.4583,D56,Q
7,no,1,male,2,0,0,17463,51.8625,A6,S
8,no,3,male,27,3,1,349909,21.075,C23 C25 C27,S
9,yes,3,female,14,0,2,347742,11.1333,B78,S
10,yes,2,female,4,1,0,237736,30.0708,D33,C
11,yes,3,female,58,1,1,PP 9549,16.7,B30,S
12,yes,1,female,20,0,0,113783,26.55,C52,S
13,no,3,male,39,0,0,A/5. 2151,8.05,B28,S
14,no,3,male,14,1,5,347082,31.275,C83,S
15,no,3,female,55,0,0,350406,7.8542,F33,S
16,yes,2,female,2,0,0,248706,16,F G73,S
17,no,3,male,31,4,1,382652,29.125,C23 C25 C27,Q
18,yes,2,male,35,0,0,244373,13,E31,S
19,no,3,female,34,1,0,345763,18,A5,S
20,yes,3,female,15,0,0,2649,7.225,D10 D12,C
21,no,2,male,28,0,0,239865,26,D26,S
22,yes,2,male,8,0,0,248698,13,C110,S
23,yes,3,female,38,0,0,330923,8.0292,B58 B60,Q
24,yes,1,male,19,0,0,113788,35.5,E101,S
25,no,3,female,40,3,1,349909,21.075,D26,S
26,yes,3,female,66,1,5,347077,31.3875,F E69,S
27,no,3,male,28,0,0,2631,7.225,D47,C
28,no,1,male,42,3,2,19950,263,C123,S
29,yes,3,female,21,0,0,330959,7.8792,B86,Q
30,no,3,male,18,0,0,349216,7.8958,F2,S
31,no,1,male,14,0,0,PC 17601,27.7208,C2,C
32,yes,1,female,40,1,0,PC 17569,146.5208,E33,C
33,yes,3,female,27,0,0,335677,7.75,B19,Q
34,no,2,male,3,0,0,C.A. 24579,10.5,A7,S
35,no,1,male,19,1,0,PC 17604,82.1708,C49,C
36,no,1,male,18,1,0,113789,52,F4,S
37,yes,3,male,7,0,0,2677,7.2292,A32,C
38,no,3,male,21,0,0,A./5. 2152,8.05,F2,S
39,no,3,female,49,2,0,345764,18,B4,S
40,yes,3,female,29,1,0,2651,11.2417,B80,C
41,no,3,female,65,1,0,7546,9.475,G6,S
42,no,2,female,21,1,0,11668,21,A31,S
43,no,3,male,28.5,0,0,349253,7.8958,D36,C
44,yes,2,female,5,1,2,SC/Paris 2123,41.5792,D15,C
45,yes,3,female,11,0,0,330958,7.8792,C93,Q
46,no,3,male,22,0,0,S.C./A.4. 23567,8.05,C83,S
47,no,3,male,38,1,0,370371,15.5,C78,Q
48,yes,3,female,45,0,0,14311,7.75,D35,Q
49,no,3,male,4,2,0,2662,21.6792,G6,C
50,no,3,female,29,1,0,349237,17.8,C87,S
51,no,3,male,19,4,1,3101295,39.6875,B77,S
52,no,3,male,17,0,0,A/4. 39886,7.8,E67,S
53,yes,1,female,26,1,0,PC 17572,76.7292,B94,C
54,yes,2,female,32,1,0,2926,26,C125,S
55,no,1,male,16,0,1,113509,61.9792,C99,C
56,yes,1,male,21,0,0,19947,35.5,C118,S
57,yes,2,female,26,0,0,C.A. 31026,10.5,D7,S
58,no,3,male,32,0,0,2697,7.2292,A19,C
59,yes,2,female,25,1,2,C.A. 34651,27.75,B49,S
60,no,3,male,0.83,5,2,CA 2144,46.9,D,S
61,no,3,male,30,0,0,2669,7.2292,C22 C26,C
62,yes,1,female,22,0,0,113572,80,C106,S
63,no,1,male,29,1,0,36973,83.475,B58 B60,S
64,no,3,male,28,3,2,347088,27.9,E101,C
65,no,1,male,17,0,0,PC 17605,27.7208,C22 C26,C
66,yes,3,male,33,1,1,2661,15.2458,C65,S
67,yes,2,female,16,0,0,C.A. 29395,10.5,E36,S
68,no,3,male,23,0,0,S.P. 3464,8.1583,C54,S
69,yes,3,female,24,4,2,3101281,7.925,B57 B59 B63 B66,S
70,no,3,male,29,2,0,315151,8.6625,C7,S
71,no,2,male,20,0,0,C.A. 33111,10.5,E34,S
72,no,3,female,46,5,2,CA 2144,46.9,C32,S
73,no,2,male,26,0,0,S.O.C. 14879,73.5,D,C
74,no,3,male,59,1,0,2680,14.4542,B18,S
75,yes,3,male,71,0,0,1601,56.4958,C124,S
76,no,3,male,23,0,0,348123,7.65,C91,S
77,no,3,male,34,0,0,349208,7.8958,C2,S
78,no,3,male,34,0,0,374746,8.05,E40,S
79,yes,2,male,28,0,2,248738,29,T,S
